name_1,contrib_1,name_2,contrib_2,cluster_klime,predict_klime,model_pred,pred_actual
3/30/20,184.0888363665203,1/22/20,13.277924063829829,0,413.16539629089027,234.06621,299
3/30/20,241.48123829255311,1/22/20,13.277924063829829,0,470.55779821692306,270.92252,333
3/30/20,632.3992966943991,1/22/20,13.277924063829829,0,861.4758566187691,814.7603,1251
3/30/20,400.66393797419124,1/22/20,13.277924063829829,0,629.7404978985612,517.12537,466
1/22/20,13.277924063829829,3/30/20,7.580128556268483,0,236.65668848063842,14.7541485,10
1/22/20,13.277924063829829,3/30/20,7.580128556268483,0,236.65668848063842,14.7541485,15
3/30/20,887.9579165914508,1/22/20,13.277924063829829,0,1117.0344765158209,1207.6722,1451
3/30/20,521.945994874487,1/22/20,13.277924063829829,0,751.022554798857,598.5389,770
3/30/20,84.46428962699167,1/22/20,13.277924063829829,0,313.5408495513616,109.49594,93
3/30/20,2200.403032333937,1/22/20,13.277924063829829,0,2429.479592258307,3223.0142,2493
3/30/20,16.24313262057532,1/22/20,13.277924063829829,0,245.31969254494527,22.897308,26
3/30/20,746.1012250384264,1/22/20,13.277924063829829,0,975.1777849627963,895.2166,900
3/30/20,330.2770299516982,1/22/20,13.277924063829829,0,559.3535898760681,482.85495,407
3/30/20,71.46978353053142,1/22/20,13.277924063829829,0,300.5463434549014,99.04556,80
3/30/20,889.0407920994893,1/22/20,13.277924063829829,0,1118.1173520238592,1207.6722,1115
3/30/20,384.42080535361595,1/22/20,13.277924063829829,0,613.4973652779859,497.71286,436
3/30/20,10415.096636312895,1/22/20,13.277924063829829,0,10644.173196237265,9093.347,11781
3/30/20,295.62501369447085,1/22/20,13.277924063829829,0,524.7015736188408,418.4175,521
3/30/20,15.160257112536966,1/22/20,13.277924063829829,0,244.2368170369069,22.897308,28
3/30/20,557.6808866397527,1/22/20,13.277924063829829,0,786.7574465641226,600.7513,688
3/30/20,53.06089989387938,1/22/20,13.277924063829829,0,282.13745981824934,81.92654,70
3/30/20,35.73489176526571,1/22/20,13.277924063829829,0,264.81145168963565,61.115322,52
3/30/20,164.59707722182992,1/22/20,13.277924063829829,0,393.6736371461999,213.53784,440
3/30/20,12885.135670148384,1/22/20,13.277924063829829,0,13114.212230072753,17626.135,18431
1/22/20,13.277924063829829,3/30/20,6.497253048230128,0,235.57381297260008,14.260905,16
1/22/20,13.277924063829829,3/30/20,4.331502032153419,0,233.40806195652337,6.2262955,5
3/30/20,105.0389242797204,1/22/20,13.277924063829829,0,334.11548420409036,134.58604,139
3/30/20,398.49818695811456,1/22/20,13.277924063829829,0,627.5747468824845,497.71286,624
3/30/20,4958.486951307626,1/22/20,13.277924063829829,0,5187.563511231996,7069.869,10360
3/30/20,137.52518952087107,1/22/20,13.277924063829829,0,366.601749445241,160.52165,135
3/30/20,388.75230738576937,1/22/20,13.277924063829829,0,617.8288673101393,497.71286,503
3/30/20,266.3873749774353,1/22/20,13.277924063829829,0,495.46393490180526,283.94104,318
1/22/20,13.277924063829829,3/30/20,6.497253048230128,0,235.57381297260008,14.260905,7
3/30/20,115.86767936010396,1/22/20,13.277924063829829,0,344.9442392844739,134.58604,114
3/30/20,150.5196956173313,1/22/20,13.277924063829829,0,379.5962555417012,208.9131,555
3/30/20,715.7807108133525,1/22/20,13.277924063829829,0,944.8572707377224,895.2166,1075
3/30/20,1050.3892427972041,1/22/20,13.277924063829829,0,1279.4658027215742,1239.2041,1203
3/30/20,14.077381604498612,1/22/20,13.277924063829829,0,243.15394152886856,22.897308,13
3/30/20,103.95604877168205,1/22/20,13.277924063829829,0,333.03260869605197,134.58604,182
3/30/20,73.63553454660813,1/22/20,13.277924063829829,0,302.71209447097806,99.04556,91
3/30/20,160.2655751896765,1/22/20,13.277924063829829,0,389.3421351140464,208.9131,195
3/30/20,137.52518952087107,1/22/20,13.277924063829829,0,366.601749445241,160.52165,236
3/30/20,1847.3856167134331,1/22/20,13.277924063829829,0,2076.462176637803,2720.746,3630
3/30/20,19.491759144690384,1/22/20,13.277924063829829,0,248.56831906906032,26.223568,22
3/30/20,3714.262992571557,1/22/20,13.277924063829829,0,3943.339552495927,4276.551,6101
3/30/20,168.92857925398334,1/22/20,13.277924063829829,0,398.00513917835326,213.53784,220
1/22/20,13.277924063829829,3/30/20,3.248626524115064,0,232.325186448485,5.838807,8
1/22/20,13.277924063829829,3/30/20,5.414377540191774,0,234.4909374645617,8.397721,9
3/30/20,2651.962119185931,1/22/20,13.277924063829829,0,2881.038679110301,3654.0913,4161
3/30/20,1072.0467529579712,1/22/20,-254.80934045932761,0,1033.0360483591837,1239.2041,990
3/30/20,624.8191681381306,1/22/20,-109.60911782481078,0,731.0086861738599,730.98114,585
3/30/20,626.9849191542074,1/22/20,-111.77431887981955,0,731.009236134928,730.98114,579
3/30/20,368.1776727330406,1/22/20,-254.80934045932761,0,329.1669681342531,497.71286,350
3/30/20,149.43682010929297,1/22/20,13.277924063829829,0,378.5133800336629,201.23466,138
3/30/20,1606.9872539289186,1/22/20,115.81789792240153,0,1938.6037877118601,1938.6335,1516
3/30/20,275.05037904174213,1/22/20,18.46484806372971,0,509.3138629660119,283.94104,254
3/30/20,158.09982417359978,1/22/20,-254.80934045932761,0,119.08911957481229,208.9131,146
3/30/20,181.9230853504436,1/22/20,-144.42088307856122,0,253.30083813242248,213.53784,168
3/30/20,347.6030380803119,1/22/20,-254.80934045932761,0,308.5923334815244,482.85495,326
3/30/20,524.1117458905637,1/22/20,13.277924063829829,0,753.1883058149336,598.5389,491
